Term;Stemmed;Variations;Getting started with Haskell and GHCi;Basic types and definitions;Designing and writing programs;Data types, tuples and lists;Programming with lists;Defining functions over lists;Playing the game: I/O in Haskell;Reasoning about programs;Generalization: patterns of computation;Higher-order functions;Developing higher-order programs;Overloading, type classes and type checking;Algebraic types;Case study: Huffman codes;Abstract data types;Lazy programming;Programming with monads;Domain-Specific Languages;Time and space behaviour
intensionality;intensionality;intensionality;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
stream;stream;stream;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
monad;monad;monad;0;0;0;0;3;0;1;0;0;0;0;2;1;0;0;0;95;17;0
clause;clause;clause;0;4;13;1;0;0;0;0;0;3;0;2;1;0;1;7;0;1;2
free variable;free variable;free variable;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
idempotence;idempotence;idempotence;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
number;number;numbers, number;0;52;50;29;10;12;14;4;5;15;33;20;21;5;15;78;15;14;20
parsing;parsing;parsing;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;27;13;2;0
offside rule;offside rule;offside rule;0;5;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
guard;guard;guard;0;33;8;0;0;3;0;0;1;0;0;2;0;0;0;6;0;0;1
square;square;square;8;2;14;2;0;0;0;0;4;1;0;0;1;0;0;3;0;0;4
decodemessage;decodemessage;decodemessage;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
greedy algorithm;greedy algorithm;greedy algorithm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
negate;negate;negate;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
table;table;table;1;7;11;2;3;2;0;0;0;0;0;2;1;9;0;0;9;0;9
function composition;function composition;function composition;0;0;0;0;0;0;0;0;0;15;5;1;1;1;0;0;1;0;0
lambda calculu;lambda calculu;lambda calculus, lambda calculu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
huffman code;huffman code;huffman codes, huffman code;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;3
function application;function application;function application;1;5;0;0;0;1;0;0;0;8;0;9;0;0;0;3;0;3;1
zip;zip;zip;0;0;0;0;8;7;0;0;4;3;2;0;0;0;0;1;0;0;0
script;script;script;11;5;7;2;3;0;0;0;0;0;1;3;0;5;0;0;0;0;0
associativity;associativity;associativity;0;8;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0
partial application;partial application;partial application;0;0;0;0;0;0;0;0;0;35;3;0;0;1;0;0;0;0;0
maybe;maybe;maybe;0;0;0;0;0;0;0;0;0;0;0;0;28;0;2;0;6;0;0
side-effect;side-effect;side-effect;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;4;0
calculation;calculation;calculation;0;11;13;3;0;5;1;1;1;1;5;0;3;4;6;38;7;0;27
literal;literal;literal;0;19;0;1;0;3;0;0;0;1;0;7;2;0;0;4;0;1;0
assumption;assumption;assumptions, assumption;0;0;0;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0
enumerated type;enumerated type;enumerated type;0;0;1;7;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
convention;convention;conventions, convention;1;4;2;0;2;3;0;0;2;0;0;0;0;1;3;0;0;0;0
show;show;show;3;13;4;8;3;2;8;15;6;11;3;32;22;1;15;21;11;8;19
length;length;length;1;0;1;8;27;13;1;28;6;0;9;8;3;2;4;6;1;3;17
scheme;scheme;scheme;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
type;type;type;27;65;46;192;113;9;36;6;42;58;42;454;221;28;196;57;61;55;5
filter;filter;filter;0;0;0;1;0;0;0;0;22;18;3;1;0;0;2;4;0;0;0
store;store;store;0;1;0;0;0;0;0;0;0;0;1;0;0;0;57;2;9;0;1
serverstate;serverstate;serverstate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0
function;function;function;16;114;127;107;150;102;58;41;159;302;131;134;106;50;108;98;57;67;68
dummy value at errors;dummy value at error;dummy values at errors, dummy value at errors;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
hug;hug;hugs, hug;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bit;bit;bit;0;2;0;0;1;0;2;0;0;0;1;1;0;11;0;1;1;0;0
divide and conquer;divide and conquer;divide and conquer;0;0;3;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;2
definition;definition;definition;22;61;115;52;31;57;22;21;34;59;47;95;52;44;36;35;33;13;16
modelling;modelling;modelling;0;0;0;3;0;0;0;0;1;0;1;0;4;0;0;0;0;3;0
selector;selector;selector;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
overloading;overloading;overloading;0;7;0;0;5;0;0;0;0;0;0;18;4;0;0;0;0;2;0
module;module;modules, module;40;5;3;4;22;0;3;0;0;0;1;4;1;107;18;0;2;2;3
forward composition;forward composition;forward composition;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0
scope;scope;scope;0;1;8;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
project idea;project idea;project ideas, project idea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
program transformation;program transformation;program transformation;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
text processing;text processing;text processing;0;0;0;0;1;9;0;0;6;1;2;0;0;0;0;0;0;1;2
uncurrying;uncurrying;uncurrying;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
ant;ant;ant;3;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0
showtype;showtype;showtype;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
truth table;truth table;truth table;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
keyword;keyword;keyword;1;0;0;2;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0
fixity;fixity;fixity;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0
default;default;default;3;0;0;0;2;0;1;2;0;0;0;21;4;3;0;2;2;0;0
expr;expr;expr;0;0;0;0;0;0;0;0;0;0;0;2;14;0;2;13;1;2;0
equation;equation;equation;0;15;6;0;0;10;0;11;1;9;2;4;5;0;2;19;0;1;7
database;database;database;0;0;0;32;14;0;0;0;6;0;0;1;7;0;2;0;0;0;0
tree;tree;tree;0;0;0;1;0;0;0;0;0;0;0;0;59;47;73;1;17;1;18
inclusive or;inclusive or;inclusive or;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pattern of computation;pattern of computation;pattern of computation;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;1
