Term;Stemmed;Variations;Chapter 1: The way of the program;Chapter 2: Variables, expressions and statements;Chapter 3: Functions;Chapter 4: Conditionals and recursion;Chapter 5: Fruitful functions;Chapter 6: Iteration;Chapter 7: Strings;Chapter 8: Lists;Chapter 9: Tuples;Chapter 10: Dictionaries;Chapter 11: Files and exceptions;Chapter 12: Classes and objects;Chapter 13: Classes and functions;Chapter 14: Classes and methods;Chapter 15: Sets of objects;Chapter 16: Inheritance;Chapter 17: Linked lists;Chapter 18: Stacks;Chapter 19: Queues;Chapter 20: Trees;Appendix A: Debugging;Appendix B: Creating a new data type
python reference manual;python reference manual;python reference manual;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
call graph function;call graph function;call graph function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
wsdl file;wsdl file;wsdl file;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
api;api;api;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
modifier function;modifier function;modifier function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
prompt;prompt;prompt;1;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;1;0
decrement;decrement;decrement;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
coercion;coercion;coercion;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
improved implementation;improved implementation;improved implementation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
unit;unit;unit;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0
overloading operator overloading;overloading operator overloading;overloading operator overloading;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
executable;executable;executable;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
final keyword;final keyword;final keyword;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
scaffolding;scaffolding;scaffolding;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
loop variable;loop variable;loop variable;0;0;0;0;0;3;0;3;3;0;0;0;0;0;1;1;1;0;0;0;0;0
full path;full path;full path;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sibling node;sibling node;sibling node;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
parent class;parent class;parent class;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
second parameter;second parameter;second parameter;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
encode;encode;encode;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
entire match;entire match;entire match;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
doc string;doc string;doc string;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
type;type;types, type;6;35;21;4;3;1;7;3;17;12;15;10;1;18;6;0;3;8;1;1;3;6
start;start;start;4;0;1;0;4;3;4;3;2;3;0;0;0;5;0;3;1;1;1;2;7;2
full test;full test;full test;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chained conditional statement;chained conditional statement;chained conditional statement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
False generalization;false generalization;program generalization, False generalization;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mutable type;mutable type;mutable types, mutable type;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
different variable;different variable;different variables, different variable;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
single test;single test;single test;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
encoding scheme;encoding scheme;encoding scheme;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
match function;match function;match function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
calling function;calling function;calling function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
outer function;outer function;outer function;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flag;flag;flags, flag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
special value;special value;special values, special value;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
text file;text file;text file;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0
python version;python version;python versions, python version;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gamma function;gamma function;gamma function;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
implicit context;implicit context;implicit context;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
common directory;common directory;common directory;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
socket;socket;sockets, socket;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
logarithm;logarithm;logarithm;0;0;3;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
standard input;standard input;standard input;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
none;none;none;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;15;0;10;17;0;0
word;word;word;5;3;2;2;1;1;9;4;1;1;4;1;1;0;2;2;1;3;0;2;2;0
root node;root node;root node;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
portability;portability;portability;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
immutable data type;immutable data type;immutable data type;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
functional programming;functional programming;functional programming;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
work;work;works, work;2;4;1;3;7;1;2;4;2;4;0;0;1;7;1;1;5;1;2;0;10;3
tree node expression;tree node expression;tree node expression;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
error messages semantic;error message semantic;error messages semantic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
whitespace;whitespace;whitespace;0;0;0;0;0;0;7;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
com index;com index;com index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
list length;list length;list length;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
natural language;natural language;natural language;13;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0
pickle;pickle;pickle;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0
example;example;examples, example;10;9;16;9;9;11;7;11;4;6;13;8;5;14;13;5;13;6;2;10;10;3
copy module;copy module;copy module;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
infinite recursion;infinite recursion;infinite recursion;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0
same list;same list;same list;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mental model;mental model;mental model;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
process;process;process;13;0;1;2;4;3;0;1;0;0;1;0;3;0;0;0;0;1;0;2;1;0
attribute;attribute;attributes, attribute;0;0;0;0;0;0;0;0;0;0;0;10;2;4;17;2;3;1;3;1;1;0
in operator overloading;in operator overloading;in operator overloading;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
loop condition;loop condition;loop condition;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
print statement;print statement;print statement;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
newline;newline;newline;0;0;21;7;0;4;1;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0
python programming;python programming;python programming;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
compile;compile;compile;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fundamental ambiguity theorem;fundamental ambiguity theorem;fundamental ambiguity theorem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
python library;python library;python library;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tab;tab;tab;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
sense;sense;sense;1;1;0;1;1;0;2;0;1;0;0;0;0;0;1;1;1;1;0;0;1;1
error handling;error handling;error handling;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
redirect handler;redirect handler;redirect handler;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
join function;join function;join function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cloning;cloning;cloning;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
counting;counting;counting;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
inheritance;inheritance;inheritance;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;15;0;0;0;0;0;0
planned development plan;planned development plan;planned development plan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
namespace;namespace;namespace;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
feature;feature;features, feature;2;2;0;0;1;2;0;0;1;0;0;0;1;6;2;4;1;0;0;0;0;1
write;write;write;5;1;6;3;11;4;1;2;3;1;15;2;7;6;2;5;2;5;2;5;3;3
animal;animal;animal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0
mutable;mutable;mutable;0;0;0;0;0;0;1;3;4;1;0;1;0;0;0;0;0;0;0;1;0;0
examples directory;example directory;examples directory;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
parameter;parameter;parameter;0;0;16;4;4;10;2;3;2;1;0;2;1;15;2;3;1;0;0;1;4;3
compiled regular expression;compiled regular expression;compiled regular expression;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
